,Anno,Regione,Affluenza
203,1992,Emilia-Romagna,0.9353591923702191
204,1992,Friuli-Venezia Giulia,0.8708434250274013
205,1992,Lazio,0.8770775935642643
206,1992,Liguria,0.8636912550448831
207,1992,Lombardia,0.9193391757627245
208,1992,Marche,0.8920974179237908
209,1992,Molise,0.7313603987033321
210,1992,Piemonte,0.8947339616885925
211,1992,Puglia,0.8447817393916287
212,1992,Sardegna,0.8344812616657712
213,1992,Sicilia,0.7638130887939552
214,1992,Toscana,0.9047028159028263
215,1992,Trentino-Alto Adige,0.9097798324275723
216,1992,Umbria,0.9001305461725494
217,1992,Valle d'Aosta,0.8949752692645495
218,1992,Veneto,0.9114613648201895
219,1994,Abruzzo,0.7819626932845096
220,1994,Basilicata,0.7819518148533201
221,1994,Calabria,0.7061253523208216
222,1994,Campania,0.7834377551180852
223,1994,Emilia-Romagna,0.9187421063461099
224,1994,Friuli-Venezia Giulia,0.8526638433670906
225,1994,Lazio,0.8712173699752646
226,1994,Liguria,0.8559944677020412
227,1994,Lombardia,0.9107720586120512
228,1994,Marche,0.871172765157244
229,1994,Molise,0.7088854791463245
230,1994,Piemonte,0.8851319239543299
231,1994,Puglia,0.8090564800478689
232,1994,Sardegna,0.8100723073855572
233,1994,Sicilia,0.7350978696863147
234,1994,Toscana,0.8999027124847776
235,1994,Trentino-Alto Adige,0.8884463685137032
236,1994,Umbria,0.8823923146064551
237,1994,Valle d'Aosta,0.8816002536490358
238,1994,Veneto,0.9013000902425021
239,1996,Abruzzo,0.7568213188174245
240,1996,Basilicata,0.7437375736929696
241,1996,Calabria,0.6633448077265546
242,1996,Campania,0.7502920113498541
243,1996,Emilia-Romagna,0.9069438997978843
244,1996,Friuli-Venezia Giulia,0.8145768318722155
245,1996,Lazio,0.8495927868640063
246,1996,Liguria,0.8319007754284843
247,1996,Lombardia,0.8903099736633516
248,1996,Marche,0.8489304376686968
249,1996,Molise,0.6657173058756185
250,1996,Piemonte,0.8576950309610113
251,1996,Puglia,0.7718541883274959
252,1996,Sardegna,0.7677684694615122
253,1996,Sicilia,0.6991159167065185
254,1996,Toscana,0.8775545239337574
255,1996,Trentino-Alto Adige,0.8684594784920923
256,1996,Umbria,0.8655751342358012
257,1996,Valle d'Aosta,0.8265781170708029
258,1996,Veneto,0.87293028480666
259,2001,Abruzzo,0.7713128414333605
260,2001,Basilicata,0.7504260091603395
261,2001,Calabria,0.7058277019784405
262,2001,Campania,0.7627767785216777
263,2001,Emilia-Romagna,0.888041122560276
264,2001,Friuli-Venezia Giulia,0.7823030414315172
265,2001,Lazio,0.818044883397513
266,2001,Liguria,0.8189085707072832
267,2001,Lombardia,0.8652897346640639
268,2001,Marche,0.8387187997007436
269,2001,Molise,0.6896445821816456
270,2001,Piemonte,0.8416447537424395
271,2001,Puglia,0.784438763990203
272,2001,Sardegna,0.7769680898065872
273,2001,Sicilia,0.7109896224399865
274,2001,Toscana,0.8623360582436912
275,2001,Trentino-Alto Adige,0.8446168814336545
276,2001,Umbria,0.8526620038323405
277,2001,Valle d'Aosta,0.8044898305444211
278,2001,Veneto,0.8469439769302828
279,2006,Abruzzo,0.8341323214757125
280,2006,Basilicata,0.8039123754172102
281,2006,Calabria,0.7444304526924637
282,2006,Campania,0.7830865852994481
283,2006,Emilia-Romagna,0.8950234879624193
284,2006,Friuli-Venezia Giulia,0.8446379179603729
285,2006,Lazio,0.8453548908328917
286,2006,Liguria,0.8338852255351682
287,2006,Lombardia,0.875159929416679
288,2006,Marche,0.8612217683024123
289,2006,Molise,0.8220667113643982
290,2006,Piemonte,0.8472901632346376
291,2006,Puglia,0.7950587253102758
292,2006,Sardegna,0.7818891245291322
293,2006,Sicilia,0.7481284585255704
294,2006,Toscana,0.8724459595216824
295,2006,Trentino-Alto Adige,0.877753416305989
296,2006,Umbria,0.8662759455873115
297,2006,Valle d'Aosta,0.8358951852882619
298,2006,Veneto,0.8759605226537194
299,2008,Abruzzo,0.8076398026822244
300,2008,Basilicata,0.7576053907278922
301,2008,Calabria,0.7120302027597359
302,2008,Campania,0.7581058512362342
303,2008,Emilia-Romagna,0.8615519550669918
304,2008,Friuli-Venezia Giulia,0.807142218354175
305,2008,Lazio,0.8109063523122523
306,2008,Liguria,0.7796603611765806
307,2008,Lombardia,0.8469431917564838
308,2008,Marche,0.8266264871856832
309,2008,Molise,0.7834827957977786
310,2008,Piemonte,0.8069756733942138
311,2008,Puglia,0.7631273494713466
312,2008,Sardegna,0.7248765420359312
313,2008,Sicilia,0.7470077815932242
314,2008,Toscana,0.8353163054110766
315,2008,Trentino-Alto Adige,0.8456335256007217
316,2008,Umbria,0.8371045396864639
317,2008,Valle d'Aosta,0.7950317871438662
318,2008,Veneto,0.8461779276669533
319,2013,Abruzzo,0.7554552794840609
320,2013,Basilicata,0.6927076309217655
321,2013,Calabria,0.6280835102268594
322,2013,Campania,0.6743377019389972
323,2013,Emilia-Romagna,0.8204057548874846
324,2013,Friuli-Venezia Giulia,0.7712199898310127
325,2013,Lazio,0.779255804827614
326,2013,Liguria,0.7499589496471345
327,2013,Lombardia,0.7964326404724008
328,2013,Marche,0.7946405458669877
329,2013,Molise,0.777642353039727
330,2013,Piemonte,0.7712001419062975
331,2013,Puglia,0.6984720841047698
332,2013,Sardegna,0.6850079569946369
333,2013,Sicilia,0.6460155022258699
334,2013,Toscana,0.7901589157760883
335,2013,Trentino-Alto Adige,0.8163981262675095
336,2013,Umbria,0.7910081954173078
337,2013,Valle d'Aosta,0.7708404987102322
338,2013,Veneto,0.8161719674653003
339,2018,Abruzzo,0.7500396638990079
340,2018,Basilicata,0.7110693164285393
341,2018,Calabria,0.6350683458444486
342,2018,Campania,0.6803186116739427
343,2018,Emilia-Romagna,0.7829957724206925
344,2018,Friuli-Venezia Giulia,0.7509666166105745
345,2018,Lazio,0.7267781096963036
346,2018,Liguria,0.7190181754935212
347,2018,Lombardia,0.7698681857095906
348,2018,Marche,0.7708224593113869
349,2018,Molise,0.7130631979804031
350,2018,Piemonte,0.750947778608083
351,2018,Puglia,0.691371106595443
352,2018,Sardegna,0.6575512261194147
353,2018,Sicilia,0.6299027694661291
354,2018,Toscana,0.7733600459614336
355,2018,Trentino-Alto Adige,0.7498036665417416
356,2018,Umbria,0.7796833287747265
357,2018,Valle d'Aosta,0.7239892710154527
358,2018,Veneto,0.7885563078847869
