,Professione,Senatori,anno
24,Operaio,3,2013
25,Appartenente alle forze dell'ordine e di sicurezza,2,2013
26,Artista o professionista dello spettacolo,2,2013
27,Commerciante,2,2013
28,Farmacista,2,2013
29,Assicuratore,1,2013
30,Assistente sociale,1,2013
31,Professionista dello sport,1,2013
0,Imprenditore,49,2018
1,Impiegato,46,2018
2,Avvocato,44,2018
3,Docente universitario,22,2018
4,Amministratore locale,20,2018
5,Consulente,20,2018
6,Insegnante,20,2018
7,Dirigente,18,2018
8,Giornalista,17,2018
9,Medico,17,2018
10,Amministratore o manager,14,2018
11,Altra professione intellettuale o scientifica,13,2018
12,Ingegnere,12,2018
13,Commercialista,11,2018
14,Ricercatore,8,2018
15,Sindacalista o esponente di associazione,7,2018
16,Militare di carriera,6,2018
17,Pubblicista,6,2018
18,Agente o rappresentante,5,2018
19,Architetto,5,2018
20,Commerciante,5,2018
21,Funzionario di partito,5,2018
22,Addetto alle pubbliche relazioni,3,2018
23,Agricoltore,3,2018
24,Artigiano,3,2018
25,Assicuratore,3,2018
26,Tecnico,3,2018
27,Appartenente alle forze dell'ordine e di sicurezza,2,2018
28,Artista o professionista dello spettacolo,2,2018
29,Magistrato,2,2018
30,Assistente sociale,1,2018
31,Farmacista,1,2018
32,Infermiere,1,2018
